"","K543R.bam","K544R.bam","K545L.bam","K546R.bam","V541L.bam","V542L.bam","V548L.bam","V550L.bam"
"ENSRNOG00000027088",1598,1805,1473,1745,2036,1803,1832,2232
"ENSRNOG00000031052",67,95,93,112,100,92,85,82
"ENSRNOG00000002553",1801,2306,1866,2181,1863,1820,1986,2604
"ENSRNOG00000002643",400,488,455,480,488,536,616,1061
"ENSRNOG00000002759",205,252,179,187,224,170,226,234
"ENSRNOG00000026716",5907,7730,6077,8412,7043,5861,6719,5623
"ENSRNOG00000002834",3,20,10,6,28,12,14,12
"ENSRNOG00000056869",36,44,48,50,44,26,24,29
"ENSRNOG00000002855",1128,1297,1204,1364,1100,1166,1305,1397
"ENSRNOG00000061477",0,0,2,0,0,0,0,0
"ENSRNOG00000002932",403,464,483,539,355,427,472,448
"ENSRNOG00000021986",147,210,137,131,172,138,224,196
"ENSRNOG00000051349",9,12,5,8,13,16,7,7
"ENSRNOG00000008421",211,226,173,229,230,232,285,321
"ENSRNOG00000054706",0,0,0,0,0,0,0,0
"ENSRNOG00000026518",0,0,0,0,0,0,0,0
"ENSRNOG00000026504",1027,1091,960,946,870,942,1238,1480
"ENSRNOG00000002161",20,8,4,9,6,11,10,9
"ENSRNOG00000038722",3,0,0,0,0,0,0,0
"ENSRNOG00000002163",476,642,592,690,456,572,655,572
"ENSRNOG00000051604",0,0,0,0,0,0,0,0
"ENSRNOG00000048183",0,0,0,0,0,0,0,0
"ENSRNOG00000057505",0,0,0,0,0,0,0,0
"ENSRNOG00000056503",0,1,0,1,1,0,0,1
"ENSRNOG00000002180",1857,1907,1684,2013,1494,1396,1728,1554
"ENSRNOG00000060890",0,0,0,0,0,0,0,0
"ENSRNOG00000002185",616,704,546,720,601,610,750,798
"ENSRNOG00000058302",0,0,0,0,0,0,0,0
"ENSRNOG00000051043",0,0,0,0,0,0,0,0
"ENSRNOG00000002192",237,359,319,358,348,325,432,655
"ENSRNOG00000002191",539,616,481,692,889,746,1041,1075
"ENSRNOG00000051132",9,12,5,8,13,16,7,7
"ENSRNOG00000051837",1,4,2,7,5,6,4,10
"ENSRNOG00000056778",24,37,19,34,28,20,24,19
"ENSRNOG00000061254",0,0,0,0,0,0,0,0
"ENSRNOG00000056747",17,10,16,17,17,0,11,11
"ENSRNOG00000060518",2063,2201,1738,2459,3146,53,3395,2592
"ENSRNOG00000057811",800,683,538,919,781,5,992,805
"ENSRNOG00000050545",2778,4637,2507,3882,3888,19,6110,3611
"ENSRNOG00000053693",0,0,0,0,0,0,0,0
"ENSRNOG00000052311",0,0,0,0,0,0,0,2
"ENSRNOG00000046600",52,33,28,44,54,0,47,38
"ENSRNOG00000048268",0,0,0,0,2,0,0,0
"ENSRNOG00000054657",2818,4659,2815,4558,7184,19,6104,3660
"ENSRNOG00000054197",0,0,0,0,0,0,0,0
"ENSRNOG00000059852",56,51,50,64,63,3,70,120
"ENSRNOG00000055956",44,24,28,39,49,0,40,35
"ENSRNOG00000059504",0,0,0,0,0,0,0,0
"ENSRNOG00000046081",816,1145,539,919,790,6,997,804
"ENSRNOG00000059586",14,5,19,16,17,0,13,15
"ENSRNOG00000054945",1204,1443,1721,1503,1928,26,2195,1466
"ENSRNOG00000057514",824,532,538,895,785,6,987,806
"ENSRNOG00000047351",1655,4660,1600,3986,2310,20,6167,2150
"ENSRNOG00000054685",0,0,0,0,0,0,0,0
"ENSRNOG00000059394",45,35,35,45,48,3,53,82
"ENSRNOG00000033251",84,98,85,87,58,94,54,77
"ENSRNOG00000058903",0,0,0,0,0,0,0,0
"ENSRNOG00000061258",0,0,0,0,0,0,0,0
"ENSRNOG00000057821",141,179,122,149,152,153,172,185
"ENSRNOG00000026134",42,60,29,48,45,32,60,35
"ENSRNOG00000056196",0,0,0,0,0,0,0,0
"ENSRNOG00000051263",0,0,0,3,0,0,0,0
"ENSRNOG00000056826",995,1082,767,889,890,1079,1207,1301
"ENSRNOG00000054691",0,0,0,0,0,0,0,0
"ENSRNOG00000059932",0,0,0,0,0,0,0,0
"ENSRNOG00000061840",0,0,0,0,0,0,0,0
"ENSRNOG00000052470",0,0,0,0,0,0,0,0
"ENSRNOG00000060076",0,0,0,0,0,0,0,0
"ENSRNOG00000059038",0,0,0,0,0,0,0,0
"ENSRNOG00000022882",43,52,44,35,45,43,42,29
"ENSRNOG00000011096",882,1226,848,780,1129,1069,1028,1050
"ENSRNOG00000055507",0,0,0,0,0,0,0,0
"ENSRNOG00000058176",0,0,1,0,0,1,0,0
"ENSRNOG00000055710",0,0,0,0,0,0,0,0
"ENSRNOG00000027791",1,8,1,11,5,0,3,5
"ENSRNOG00000056056",0,0,0,0,0,0,0,0
"ENSRNOG00000058705",0,0,0,0,0,0,0,0
"ENSRNOG00000056871",0,0,0,0,0,0,0,0
"ENSRNOG00000051674",0,0,0,0,0,0,0,0
"ENSRNOG00000056557",0,0,0,0,0,0,0,0
"ENSRNOG00000012367",19,17,7,12,9,14,16,14
"ENSRNOG00000051642",0,0,0,0,0,0,0,0
"ENSRNOG00000056117",0,0,0,0,0,0,0,0
"ENSRNOG00000055601",0,0,0,0,0,0,0,0
"ENSRNOG00000053682",0,0,0,0,0,0,0,0
"ENSRNOG00000061025",0,0,0,0,0,0,0,0
"ENSRNOG00000055970",0,0,0,0,0,0,0,0
"ENSRNOG00000057525",0,0,0,0,0,0,0,0
"ENSRNOG00000028963",0,2,0,0,0,0,0,0
"ENSRNOG00000002956",1653,1717,1649,1471,985,993,1299,1296
"ENSRNOG00000003003",392,474,390,423,358,414,446,404
"ENSRNOG00000034366",3,0,2,6,9,1,1,2
"ENSRNOG00000043124",199,341,207,115,178,213,282,66
"ENSRNOG00000061143",0,0,0,0,0,0,0,0
"ENSRNOG00000046327",2105,2855,2312,2231,1785,1893,2276,2285
"ENSRNOG00000057727",0,0,0,0,0,0,0,0
"ENSRNOG00000044170",0,0,0,0,0,0,0,0
"ENSRNOG00000055911",13,20,11,15,22,12,27,15
"ENSRNOG00000034513",0,0,0,0,0,0,0,0
"ENSRNOG00000051190",349,487,385,415,474,352,390,424
"ENSRNOG00000004932",1181,1501,1362,1415,956,1100,1312,1241
"ENSRNOG00000040878",0,1,0,0,0,0,0,0
"ENSRNOG00000004626",0,0,0,1,0,0,1,1
"ENSRNOG00000054521",0,0,0,0,0,0,0,0
"ENSRNOG00000004130",1345,1654,1407,1484,1488,1370,1610,1752
"ENSRNOG00000029064",114,131,100,146,128,91,107,128
"ENSRNOG00000003924",471,529,414,479,493,532,573,706
"ENSRNOG00000050890",0,0,0,0,0,0,0,0
"ENSRNOG00000049244",958,1363,1038,1084,840,766,972,1061
"ENSRNOG00000003887",311,337,277,212,155,164,245,212
"ENSRNOG00000024454",372,508,392,389,351,391,365,523
"ENSRNOG00000003869",0,1,1,0,0,0,0,0
"ENSRNOG00000055511",0,0,0,0,0,0,0,0
"ENSRNOG00000061322",0,0,0,0,0,0,0,0
"ENSRNOG00000058688",3,1,0,3,0,3,0,2
"ENSRNOG00000003844",3210,3910,3314,3171,3154,3059,3833,3756
"ENSRNOG00000058054",0,0,0,0,0,0,0,0
"ENSRNOG00000055850",674,832,758,688,551,693,824,798
"ENSRNOG00000056900",0,0,0,0,0,0,0,0
"ENSRNOG00000059565",0,0,0,0,0,0,0,0
"ENSRNOG00000049999",2,3,4,1,11,8,5,8
"ENSRNOG00000032657",0,0,0,0,0,0,0,0
"ENSRNOG00000053119",0,0,0,0,0,0,0,0
"ENSRNOG00000002224",0,0,1,0,0,0,0,0
"ENSRNOG00000002207",968,1230,973,1012,834,851,995,1222
"ENSRNOG00000002177",461,537,444,562,441,460,530,411
"ENSRNOG00000058778",0,1,0,0,0,0,0,0
"ENSRNOG00000051998",0,0,0,0,0,0,0,0
"ENSRNOG00000004473",38,22,23,48,16,28,47,31
"ENSRNOG00000045758",0,0,0,0,0,0,0,0
"ENSRNOG00000047460",0,0,0,0,0,0,0,0
"ENSRNOG00000055015",233,291,258,350,284,165,183,170
"ENSRNOG00000024634",9,38,17,13,7,7,7,2
"ENSRNOG00000050726",0,0,0,0,0,0,0,0
"ENSRNOG00000047320",0,0,0,0,0,0,0,0
"ENSRNOG00000004279",388,426,303,444,338,410,374,386
"ENSRNOG00000056613",0,0,0,0,0,0,0,0
"ENSRNOG00000048944",0,0,0,0,0,0,0,0
"ENSRNOG00000054636",0,0,0,0,0,0,0,0
"ENSRNOG00000053299",0,0,0,0,0,0,0,0
"ENSRNOG00000036375",0,0,0,0,0,0,0,0
"ENSRNOG00000032350",25,25,33,25,28,30,24,7
"ENSRNOG00000044193",0,0,0,0,0,0,0,0
"ENSRNOG00000004140",201,217,163,269,201,189,191,231
"ENSRNOG00000003840",89,119,108,91,129,114,161,195
"ENSRNOG00000035486",0,0,0,0,0,0,0,0
"ENSRNOG00000060489",3723,4081,3800,3381,2989,2516,2566,2718
"ENSRNOG00000059908",0,0,0,0,0,0,0,0
"ENSRNOG00000061727",0,0,0,0,0,0,0,0
"ENSRNOG00000057570",0,0,0,0,0,0,0,0
"ENSRNOG00000054995",0,0,0,0,0,0,0,0
"ENSRNOG00000054916",0,0,0,0,0,0,0,0
"ENSRNOG00000059284",62,85,88,102,76,48,60,69
"ENSRNOG00000003787",411,505,495,349,279,334,537,457
"ENSRNOG00000038572",521,606,487,281,541,629,911,1049
"ENSRNOG00000003704",15,16,15,14,23,13,14,31
"ENSRNOG00000003592",534,646,498,603,708,593,651,732
"ENSRNOG00000003289",748,847,704,807,800,677,856,909
"ENSRNOG00000027195",0,0,0,0,0,0,0,0
"ENSRNOG00000003253",748,997,799,916,758,676,841,1096
"ENSRNOG00000060369",255,356,255,249,283,230,199,211
"ENSRNOG00000003205",60,78,73,79,52,72,123,54
"ENSRNOG00000053383",0,0,0,0,0,0,0,0
"ENSRNOG00000003174",1326,1609,1120,1454,1331,1404,1551,1659
"ENSRNOG00000061697",0,0,0,0,0,0,0,0
"ENSRNOG00000058481",0,0,0,0,0,0,0,0
"ENSRNOG00000003098",206,324,220,198,283,309,333,310
"ENSRNOG00000003095",0,0,0,0,0,0,0,0
"ENSRNOG00000026046",0,0,0,0,0,0,0,0
"ENSRNOG00000003069",0,5,2,0,0,0,0,0
"ENSRNOG00000003064",0,0,0,0,0,0,0,0
"ENSRNOG00000005261",1154,1480,1197,1329,1392,1319,1414,1356
"ENSRNOG00000059715",348,451,384,468,347,401,361,308
"ENSRNOG00000005094",2,7,1,1,0,2,9,2
"ENSRNOG00000005077",2,7,2,3,5,5,1,7
"ENSRNOG00000005043",560,717,490,460,180,217,278,273
"ENSRNOG00000057056",501,572,404,509,445,526,604,712
"ENSRNOG00000004719",170,249,201,204,201,198,219,272
"ENSRNOG00000049420",0,0,0,0,0,0,0,0
"ENSRNOG00000029107",33,38,27,31,49,41,56,68
"ENSRNOG00000050437",2090,2665,2445,2898,2904,2315,2265,2474
"ENSRNOG00000060782",8,11,10,14,17,8,8,11
"ENSRNOG00000017074",853,1047,749,880,1141,884,1034,1079
"ENSRNOG00000033640",0,0,0,0,0,0,0,0
"ENSRNOG00000060498",0,0,0,0,0,0,0,0
"ENSRNOG00000052324",0,0,0,0,0,0,0,0
"ENSRNOG00000041913",0,0,0,0,0,0,0,0
"ENSRNOG00000058212",0,0,0,0,0,0,0,0
"ENSRNOG00000010598",49,96,118,108,21,20,79,25
"ENSRNOG00000055664",0,0,0,0,0,0,0,0
"ENSRNOG00000054226",0,0,0,0,0,0,0,0
"ENSRNOG00000055215",0,0,0,0,0,0,0,0
"ENSRNOG00000059384",0,0,0,0,0,0,0,0
"ENSRNOG00000051169",3,4,1,3,5,0,1,5
"ENSRNOG00000059848",0,0,0,0,0,0,0,0
"ENSRNOG00000053821",0,0,0,0,0,0,0,0
"ENSRNOG00000028534",229,304,355,334,186,271,317,461
"ENSRNOG00000028498",3806,4779,4001,4393,3655,3897,4751,5324
"ENSRNOG00000005302",24,45,33,30,17,13,30,45
"ENSRNOG00000005338",0,0,0,0,0,0,0,0
"ENSRNOG00000028423",2,1,0,3,2,2,1,0
"ENSRNOG00000005346",483,624,562,558,604,551,538,631
"ENSRNOG00000005374",572,691,520,731,771,619,735,801
"ENSRNOG00000005633",213,284,292,329,262,240,275,344
"ENSRNOG00000005700",3081,4051,3424,3414,3907,3215,3898,6305
"ENSRNOG00000006139",634,815,611,751,728,678,840,945
"ENSRNOG00000054201",0,0,0,0,0,0,0,0
"ENSRNOG00000054686",0,0,0,0,0,0,0,0
"ENSRNOG00000006876",0,0,0,0,0,0,0,0
"ENSRNOG00000028108",0,0,0,0,0,0,0,0
"ENSRNOG00000031397",101,98,80,73,60,86,123,412
"ENSRNOG00000056872",0,0,0,0,0,0,0,0
"ENSRNOG00000007025",3,2,0,3,1,1,4,0
"ENSRNOG00000007564",406,430,428,367,429,401,447,444
"ENSRNOG00000004781",2682,3188,2624,2970,3821,3395,3803,4018
"ENSRNOG00000038427",10,8,3,6,8,6,11,7
"ENSRNOG00000054484",4,7,5,4,1,0,3,7
"ENSRNOG00000004998",254,393,258,249,374,347,429,555
"ENSRNOG00000043857",0,0,0,0,0,0,0,0
"ENSRNOG00000005108",571,716,522,668,901,855,1022,837
"ENSRNOG00000058202",857,926,566,658,943,1143,1260,1130
"ENSRNOG00000038678",0,0,0,0,0,0,1,0
"ENSRNOG00000061779",2,8,4,7,2,8,5,3
"ENSRNOG00000056162",24,46,24,22,18,22,17,6
"ENSRNOG00000055319",8833,11859,8998,10183,11295,10328,10195,10794
"ENSRNOG00000054224",128,195,123,157,148,191,206,164
"ENSRNOG00000031296",0,0,0,0,0,1,1,0
"ENSRNOG00000048860",0,0,0,0,0,0,0,0
"ENSRNOG00000006400",1535,1955,1413,1937,1820,1854,2016,2075
"ENSRNOG00000027623",2013,2454,2235,2344,1924,2037,2444,2490
"ENSRNOG00000055442",0,0,2,0,0,0,0,0
"ENSRNOG00000006575",41,57,39,36,72,59,52,57
"ENSRNOG00000027326",957,1190,971,1210,1134,1068,1129,1316
"ENSRNOG00000006593",819,872,798,788,956,930,847,917
"ENSRNOG00000007033",4040,4462,3653,4552,3281,3323,4888,4923
"ENSRNOG00000061069",0,0,0,0,0,0,0,0
"ENSRNOG00000054242",0,0,0,0,0,0,0,0
"ENSRNOG00000006845",0,0,0,0,0,0,0,0
"ENSRNOG00000060665",299,280,271,317,357,336,350,323
"ENSRNOG00000007882",275,276,209,196,250,306,364,306
"ENSRNOG00000007993",3,9,7,2,4,11,5,10
"ENSRNOG00000008182",53,118,130,118,69,94,87,123
"ENSRNOG00000008474",252,381,310,345,191,217,276,340
"ENSRNOG00000008898",227,255,259,309,218,194,264,221
"ENSRNOG00000008947",60,79,43,77,52,58,41,57
"ENSRNOG00000061022",0,0,0,0,0,0,0,0
"ENSRNOG00000009154",385,475,403,648,543,520,516,390
"ENSRNOG00000053031",1,1,1,0,1,3,1,2
"ENSRNOG00000060138",45,63,51,49,33,45,35,50
"ENSRNOG00000054319",28,35,15,24,65,68,68,76
"ENSRNOG00000009299",1,0,0,0,0,0,1,0
"ENSRNOG00000054929",0,0,0,0,0,1,0,0
"ENSRNOG00000009313",1899,2183,2087,2417,1873,1863,2310,2239
"ENSRNOG00000022419",2,1,2,1,1,4,1,1
"ENSRNOG00000009572",166,270,215,290,140,141,219,247
"ENSRNOG00000030568",505,572,573,404,528,558,564,462
"ENSRNOG00000030162",0,0,0,0,0,0,0,0
"ENSRNOG00000010867",10,21,14,15,21,10,17,12
"ENSRNOG00000011073",1477,1587,1526,1617,1402,1348,1493,1493
"ENSRNOG00000011847",78,101,86,79,86,95,140,76
"ENSRNOG00000012147",665,682,605,802,651,669,644,850
"ENSRNOG00000012534",791,874,725,889,894,758,780,828
"ENSRNOG00000013039",3614,4108,3727,3989,3748,3684,4367,4078
"ENSRNOG00000052531",1,1,0,0,2,1,0,0
"ENSRNOG00000013747",26,20,19,27,35,28,26,17
"ENSRNOG00000051435",0,0,0,0,0,0,0,0
"ENSRNOG00000013805",341,376,307,395,256,279,291,178
"ENSRNOG00000013832",819,918,751,926,911,849,935,1059
"ENSRNOG00000054254",0,0,0,0,0,0,0,0
"ENSRNOG00000013930",813,977,810,857,875,811,1065,1050
"ENSRNOG00000058434",54,38,46,34,16,29,24,21
"ENSRNOG00000014874",71,73,76,82,73,75,90,48
"ENSRNOG00000015033",2185,2615,2091,2401,2202,2219,2481,2534
"ENSRNOG00000015255",399,452,360,373,510,505,588,668
"ENSRNOG00000058717",1,0,0,0,0,0,0,0
"ENSRNOG00000027929",32,33,26,29,32,22,33,31
"ENSRNOG00000049351",1,3,8,4,6,14,9,8
"ENSRNOG00000038150",101,120,99,106,122,155,129,92
"ENSRNOG00000015474",584,782,555,791,769,752,705,846
"ENSRNOG00000038140",2181,2521,2023,2182,2633,2587,3174,3304
"ENSRNOG00000056749",2,1,0,2,1,1,1,2
"ENSRNOG00000016427",610,705,549,689,786,827,809,1213
"ENSRNOG00000016818",547,703,477,467,667,430,377,353
"ENSRNOG00000057641",6,10,2,4,6,5,15,4
"ENSRNOG00000055144",0,0,0,0,0,0,0,0
"ENSRNOG00000017259",1064,1252,879,486,1583,1438,2107,1946
"ENSRNOG00000058492",4,2,4,0,0,5,1,0
"ENSRNOG00000017329",376,481,504,573,610,516,602,632
"ENSRNOG00000037162",911,1296,971,1064,1413,1315,1611,1789
"ENSRNOG00000017548",241,288,253,280,284,227,295,273
"ENSRNOG00000005113",1,0,0,0,0,0,0,0
"ENSRNOG00000005122",129,180,130,182,101,128,131,144
"ENSRNOG00000005397",758,1067,769,1011,1138,1137,1280,1343
"ENSRNOG00000005428",3461,4188,3336,3931,4080,3608,4324,3924
"ENSRNOG00000006033",44,59,52,44,50,28,31,10
"ENSRNOG00000046246",17,26,19,12,17,15,11,5
"ENSRNOG00000017775",5,0,0,0,1,1,6,0
"ENSRNOG00000055471",2783,3318,2976,3030,3927,3384,4434,5269
"ENSRNOG00000052427",0,1,0,0,0,0,0,0
"ENSRNOG00000018144",438,497,385,442,478,523,561,593
"ENSRNOG00000059094",0,0,0,1,1,3,1,1
"ENSRNOG00000047859",0,0,0,0,0,0,0,0
"ENSRNOG00000045749",0,0,0,1,0,0,0,0
"ENSRNOG00000048891",1253,1654,1446,1502,1090,1153,1311,1528
"ENSRNOG00000018319",254,357,343,308,290,271,312,340
"ENSRNOG00000018412",860,991,777,964,877,785,902,748
"ENSRNOG00000018475",819,1038,845,1034,1044,992,1209,1121
"ENSRNOG00000018590",692,864,720,871,915,825,857,937
"ENSRNOG00000018709",489,714,620,719,725,685,709,522
"ENSRNOG00000055341",0,1,0,0,0,0,0,0
"ENSRNOG00000018859",153,171,129,70,89,61,109,60
"ENSRNOG00000019000",582,739,612,638,578,511,659,658
"ENSRNOG00000019325",388,413,366,569,458,397,558,487
"ENSRNOG00000025121",3,0,0,3,2,3,7,2
"ENSRNOG00000019361",409,389,328,583,521,521,553,480
"ENSRNOG00000061231",1437,1919,1393,1585,1543,1642,1574,1781
"ENSRNOG00000019451",375,431,303,209,731,628,779,729
"ENSRNOG00000051135",2922,3492,2639,3432,2908,2889,3236,3371
"ENSRNOG00000019624",1691,1842,1610,1948,1698,1669,1871,1666
"ENSRNOG00000019645",161,147,134,135,99,142,143,102
"ENSRNOG00000060757",0,0,0,0,0,0,0,0
"ENSRNOG00000059624",0,0,0,0,0,0,0,0
"ENSRNOG00000004112",22,24,11,6,7,11,12,5
"ENSRNOG00000024945",1257,1553,1427,1423,845,942,1315,826
"ENSRNOG00000004168",287,397,322,447,311,340,344,315
"ENSRNOG00000004280",914,877,980,1538,700,822,950,859
"ENSRNOG00000004515",1224,1352,1114,1471,1235,1185,1355,1336
"ENSRNOG00000042041",135,202,135,150,163,174,167,185
"ENSRNOG00000004555",89,56,84,81,149,130,141,53
"ENSRNOG00000004640",53,71,45,58,85,63,70,53
"ENSRNOG00000004672",318,383,334,340,231,243,256,269
"ENSRNOG00000004940",481,658,506,740,728,610,595,636
"ENSRNOG00000005147",132,121,130,130,77,104,112,91
"ENSRNOG00000005218",1712,2076,1731,1948,1941,1726,2206,2178
"ENSRNOG00000006394",167,220,192,231,258,209,245,272
"ENSRNOG00000006740",11,3,0,0,4,8,7,3
"ENSRNOG00000024390",0,2,0,0,0,0,0,1
"ENSRNOG00000007002",11,29,26,20,24,28,41,19
"ENSRNOG00000054570",0,0,1,0,0,0,0,0
"ENSRNOG00000037865",314,490,373,490,327,375,332,327
"ENSRNOG00000060726",1,3,1,2,4,0,5,0
"ENSRNOG00000060039",1,0,0,0,2,0,2,2
"ENSRNOG00000007120",1485,1824,1490,1809,1368,1464,1742,1708
"ENSRNOG00000059029",0,0,0,0,0,0,0,0
"ENSRNOG00000051676",0,0,0,0,0,0,0,0
"ENSRNOG00000007349",586,694,603,612,507,545,570,673
"ENSRNOG00000059061",154,181,152,137,197,188,136,198
"ENSRNOG00000007849",69,112,83,118,111,97,98,126
"ENSRNOG00000057703",213,269,169,234,346,306,241,99
"ENSRNOG00000007948",2495,3052,2236,2431,2199,2371,2903,2470
"ENSRNOG00000008374",816,977,734,873,855,806,866,871
"ENSRNOG00000055280",0,0,0,0,0,0,0,0
"ENSRNOG00000008456",684,858,726,862,1041,903,907,1044
"ENSRNOG00000052053",0,0,0,0,0,0,0,0
"ENSRNOG00000008716",696,711,519,524,916,653,866,1263
"ENSRNOG00000008786",1787,2033,1578,2087,1975,1891,2173,2416
"ENSRNOG00000054716",0,0,0,0,0,3,0,0
"ENSRNOG00000057861",3,1,0,0,0,1,1,0
"ENSRNOG00000051515",0,0,0,0,0,0,0,0
"ENSRNOG00000009040",278,295,239,334,290,318,294,343
"ENSRNOG00000008951",265,306,258,310,286,273,315,323
"ENSRNOG00000009437",4993,6527,5590,5277,5619,5061,5054,5450
"ENSRNOG00000027032",277,395,276,329,313,338,366,310
"ENSRNOG00000033575",12,12,10,6,7,10,13,9
"ENSRNOG00000051487",116,159,94,139,114,64,165,69
"ENSRNOG00000010298",3228,3747,3641,3749,3491,3231,3830,4430
"ENSRNOG00000010706",396,445,523,476,457,411,455,523
"ENSRNOG00000059747",0,0,0,0,0,0,0,0
"ENSRNOG00000034011",3,1,0,0,1,0,0,5
"ENSRNOG00000056767",1,0,0,0,0,0,0,0
"ENSRNOG00000026873",0,0,0,0,0,0,0,0
"ENSRNOG00000030988",0,0,0,0,0,0,1,0
"ENSRNOG00000011979",315,340,276,341,345,348,322,360
"ENSRNOG00000012184",491,658,596,653,721,601,654,668
"ENSRNOG00000012378",769,889,859,885,928,1023,1114,1359
"ENSRNOG00000013532",114,102,112,75,79,77,97,63
"ENSRNOG00000013647",122,154,124,178,123,155,132,157
"ENSRNOG00000052037",0,0,0,0,0,0,0,0
"ENSRNOG00000013720",28,11,13,21,39,11,45,25
"ENSRNOG00000014098",411,491,381,428,477,369,501,498
"ENSRNOG00000014409",46,40,50,73,88,45,56,45
"ENSRNOG00000061527",968,1211,1108,1326,1219,1064,1077,1588
"ENSRNOG00000014785",707,842,722,674,790,714,916,1313
"ENSRNOG00000052080",10272,12103,11020,11858,9640,9858,11025,12303
"ENSRNOG00000056148",196,267,191,227,202,249,289,310
"ENSRNOG00000049955",1,0,0,0,1,1,0,0
"ENSRNOG00000054255",1,0,2,1,2,1,0,3
"ENSRNOG00000004670",462,468,424,549,422,497,472,563
"ENSRNOG00000005016",1737,2119,1832,2109,1847,1768,1978,1766
"ENSRNOG00000056459",0,0,0,0,0,0,0,0
"ENSRNOG00000005130",4400,5060,3836,4421,4414,4453,5118,6624
"ENSRNOG00000052136",0,0,1,1,1,1,0,2
"ENSRNOG00000025923",1968,2090,1844,2042,1877,1806,2047,1785
"ENSRNOG00000054513",1131,1196,1094,1257,1029,1055,1196,1043
"ENSRNOG00000027864",10250,13260,9788,11383,12470,10660,12415,14950
"ENSRNOG00000057444",0,1,0,0,1,0,0,0
"ENSRNOG00000052275",722,844,672,672,931,850,871,796
"ENSRNOG00000052548",0,0,0,0,0,0,0,0
"ENSRNOG00000055372",0,0,0,0,0,0,0,0
"ENSRNOG00000059859",149,166,140,145,118,166,187,185
"ENSRNOG00000056150",915,1085,815,851,702,984,975,1386
"ENSRNOG00000061438",172,277,220,243,249,195,262,219
"ENSRNOG00000059140",5,1,27,5,15,35,34,11
"ENSRNOG00000056382",8,14,9,15,20,16,13,13
"ENSRNOG00000060825",381,481,447,454,503,459,538,582
"ENSRNOG00000053875",14,14,17,6,15,27,18,2
"ENSRNOG00000052477",798,926,818,835,764,747,809,941
"ENSRNOG00000057816",0,0,0,0,0,0,1,0
"ENSRNOG00000057537",9,2,5,17,6,10,12,11
"ENSRNOG00000055684",0,0,1,0,0,0,0,0
"ENSRNOG00000053766",1,2,1,0,1,0,0,1
"ENSRNOG00000058474",3,14,13,22,15,33,17,15
"ENSRNOG00000058788",0,0,0,0,0,0,0,0
"ENSRNOG00000058513",0,0,0,0,0,0,0,0
"ENSRNOG00000057726",0,0,0,0,0,0,0,0
"ENSRNOG00000059479",334,359,296,343,222,377,432,511
"ENSRNOG00000058780",1608,2893,2933,1883,535,539,656,172
"ENSRNOG00000061910",670,849,669,730,746,737,972,763
"ENSRNOG00000058316",134,145,146,150,61,83,103,88
"ENSRNOG00000056966",0,0,0,0,0,0,0,0
"ENSRNOG00000055092",0,0,0,0,0,0,0,0
"ENSRNOG00000050800",2125,2528,1963,2158,2778,2501,2575,2723
"ENSRNOG00000025695",7826,9642,9185,9035,6305,6411,8131,8257
"ENSRNOG00000061615",0,0,0,0,1,0,0,1
"ENSRNOG00000036145",0,0,0,0,0,0,0,0
"ENSRNOG00000004865",0,1,0,3,0,1,4,1
"ENSRNOG00000005141",621,866,740,873,725,747,799,902
"ENSRNOG00000005105",6,1,9,1,2,2,1,1
"ENSRNOG00000037632",71,57,66,63,28,30,43,34
"ENSRNOG00000004972",45,39,18,16,25,19,35,65
"ENSRNOG00000025645",7,12,8,3,10,6,8,38
"ENSRNOG00000051567",0,0,0,0,0,0,0,0
"ENSRNOG00000030665",0,0,0,0,0,0,0,0
"ENSRNOG00000049076",17,12,20,12,8,11,5,16
"ENSRNOG00000046938",0,0,0,0,0,0,0,0
"ENSRNOG00000027801",103,113,103,116,69,75,95,144
"ENSRNOG00000037621",29,24,13,8,13,23,10,6
"ENSRNOG00000004444",2,0,14,11,9,26,21,8
"ENSRNOG00000004440",273,269,222,234,411,321,408,436
"ENSRNOG00000004327",1622,2366,1504,1314,2354,2039,1670,1614
"ENSRNOG00000004290",19,16,15,3,12,13,16,18
"ENSRNOG00000056604",0,0,0,0,0,0,0,0
"ENSRNOG00000004281",1035,1095,812,905,1137,1184,1561,1254
"ENSRNOG00000060073",0,0,0,0,0,0,0,0
"ENSRNOG00000060641",0,0,0,0,0,0,0,0
"ENSRNOG00000060971",0,0,0,0,0,0,0,0
"ENSRNOG00000004090",445,505,386,463,551,528,516,653
"ENSRNOG00000035312",0,0,0,0,0,0,0,0
"ENSRNOG00000056762",0,0,0,0,0,0,0,0
"ENSRNOG00000055347",0,0,0,0,0,0,0,0
"ENSRNOG00000046536",350,536,382,521,696,551,796,1963
"ENSRNOG00000050592",0,0,0,0,0,0,0,0
"ENSRNOG00000047403",0,0,0,0,0,0,0,0
"ENSRNOG00000048867",0,0,0,0,0,0,0,0
"ENSRNOG00000053463",0,0,1,0,0,0,0,0
"ENSRNOG00000051064",0,0,0,0,0,0,0,0
"ENSRNOG00000050580",0,0,0,0,0,0,0,0
"ENSRNOG00000057361",4,19,0,2,4,0,1,1
"ENSRNOG00000055299",0,0,0,0,0,0,0,0
"ENSRNOG00000005180",32,35,37,37,28,33,47,35
"ENSRNOG00000051775",0,0,0,0,0,0,0,0
"ENSRNOG00000005203",3683,4350,3704,3775,4148,3625,3468,5042
